,name,verdict,i_reason,description,website,product_offering,target_audience,problem_statement,founding_team,clients
0,Defog,Yes,This a tech startup. One clear indicator would be that it was from a previous YC cohort so we would probably by default be interested,We help enterprises deploy fine-tuned LLMs for enterprise analytics.,defog.ai,"Defog offers an AI data analyst that delivers personalized data to answer business users' questions without the need for SQL knowledge. It also provides contextual chat, autovisualizations, statistical modeling, easy integrations, and one-click deployment options.","Defog's target audience is enterprises, specifically data teams and business users who need faster data analysis without the hassle of SQL or data team involvement.",Defog aims to reduce the time wasted by enterprises in the back and forth between data teams and business users by providing a personalized AI data analyst that can answer questions quickly and accurately.,Rishabh Srivastava is a co-founder of Defog and has relevant experience in serving Asian enterprises through Loki.ai. The other founders are not mentioned in the provided context.,"Defog has served healthcare, finance, and analytics companies, as well as a publicly-listed US company with a 100-person data science team. The company has saved up to 2,500 hours per month for its clients."
1,Mito Health,Yes,"Yes this is a good example. The investment team has already reached out to Mito previously.

One area of improvement is that the founder should be classified as a super founder since he previously exited Seedly to Shopback","Mito Health (mitohealth.com) is a virtual longevity clinic based out of Singapore. We help clients order advanced lab tests, assess their health holistically and most importantly, tell them where they can do better. 

Our mission is to extend healthspans of our our clients and society. We have raised seed funding from some of the top investors and angels in this region.",mitohealth.com,"Mito Health offers a comprehensive health assessment with 67 biomarkers to assess the risk for cancers, critical illnesses, and early aging. The health solutions are personalized to the individual's goals, lifestyle, family history, and health assessment results. Advanced screenings such as DEXA, Body Composition and Skeletal Health Scan, VO2max Testing, and more are available at member-exclusive rates.",People looking to optimize their health and longevity beyond standard health check-ups and supplements.,Mito Health aims to provide personalized health plans based on diagnostic results and wearable data to increase the number of years lived free from disability and diseases. The company focuses on preventive healthcare and making personalized action plans accessible to health-conscious individuals.,"The founders of Mito Health are Kenneth Lou, Tee-Ming Chew, Joel Kek, and Ryan Ware. Kenneth Lou and Tee-Ming Chew co-founded Seedly and have experience in personal finance. Joel Kek was involved in developing Singapore's contact tracing effort TraceTogether at GovTech, and Ryan Ware is a former surgeon and resident.",Not enough info
2,Perceptif AI,Yes,This is an example of a tech startup that we are able to catch early. Haven't raised a round yet. Probabaly contact and keep under our watch list if interested,"Unlocking Operational Excellence
with Process Mining, AI & Automation",perceptif.ai,,,,,
3,ArcadeXR,Yes,I would classify this as a tech startup but it has a weak value proposition - simply porting physical arcade games into VR digital games,"ArcadeXR is an arcade experience company that connects people with games. Our team combines decades of experience in the arcade industry, game development, and online services with a passion for bringing physical arcade games into the digital world to delight players.",arcadexr.com,"ArcadeXR creates accessible and social arcade experiences that delight players across physical and virtual worlds. They craft engaging, rewarding, and innovative games and experiences that push the boundaries of what's possible in game creation.","Consumers who enjoy arcade games and experiences, both in physical and virtual settings.",ArcadeXR aims to solve the problem of creating engaging and innovative games that combine technology and creativity to provide players with unique and rewarding experiences.,"Shannon Perell is the Founder and CEO of ArcadeXR, with a background in game development and online services. Liam Cary is the Lead Game Programmer with experience in the arcade industry. Tabor Carlton is the Head of Marketing, bringing expertise in promoting arcade experiences.",Not enough info
4,audax,Yes,"This is an early tech startup. Keywords in the description that might help is ""banking as a service""","audax is about courage – the courage to push frontiers, defy the norm, and embrace the unconventional. We believe that innovation thrives on audacity, and with audax, you're not just choosing our digital banking solutions – you're choosing a fearless partner ready to explore new horizons.

As a comprehensive stack digital banking solutions provider, audax empowers banks and financial institutions to rapidly scale and modernise. Our plug-and-play digital solutions offer end-to-end banking capabilities, harmoniously complementing incumbents' core infrastructure. We're here to help you realise scaled digital banking models, including digital banking and Banking-as-a-Service, without the complexity of in-house development or expensive migration.

Our journey started by powering Standard Chartered nexus and has since expanded to elevate other banks and financial institutions globally. If you're ready to embark on a journey that defies convention and shapes the future of banking, audax is your partner. Get in touch with us today.",audax.io,"audax offers a comprehensive suite of solutions on a single platform that can be deployed inside or outside of a bank's environment. The platform includes capabilities for digital banking, Banking-as-a-Service (BaaS), embedded finance, and more. One key innovative product offering is 100% Digital Account Opening, which provides fully automated, electronic Know Your Customer (eKYC) verification at account opening, enabling banking for the masses.","audax's target audience includes banks and financial institutions looking to scale and modernize their digital banking capabilities. They aim to empower these institutions to pursue scaled digital businesses, including digital banking, BaaS, embedded finance, and more.","audax addresses challenges faced by banks and financial institutions, such as developing alternative business models, speeding up time to market, upgrading legacy infrastructure, and adapting to change. They aim to help these institutions accelerate customer acquisition, lower risk/cost of new customers, and create contextualized value propositions.",Not enough info,"audax has served industry leaders like Standard Chartered Bank, enabling them to tap into previously unbanked segments and launch digital banking services like BukaTabungan in Indonesia. They have helped onboard thousands of customers daily with record response times and have received positive feedback from clients like Andrew Chia, Cluster CEO at Standard Chartered Bank."
5,Carbon Balance,Yes,"This is an early tech startup. We have previously met with the founder.

Similar to YC companies. Might be also worth putting the (Antler) in the startup's header / creating a separate section for this","Carbon Balance is an early-stage start-up venture headquartered in Singapore that has a mission to leverage technology to achieve a harmonious balance between business growth and sustainability while raising awareness of the urgent issue of climate change.

OUR MISSION: Our commitment is to leverage technology to achieve a harmonious balance between business growth and sustainability while raising awareness of the urgent issue of climate change

Sustainability platform comprising a Calculator API to measure the GHG footprint of ecommerce transactions and an Integration Plugin for popular ecommerce enablers such as WooCommerce, Easy store, and Shopify with flexible options to offset footprint by contributing to trustworthy projects.",carbonbalance.co,Carbon Balance for WooCommerce,Ecommerce businesses using WooCommerce,Empowering businesses to offer climate-neutral orders and increase customer engagement by showcasing commitment to environmental sustainability.,Not enough info,Not enough info
6,Commune,Yes,This is a startup,Commune helps product teams uncover insights from customer feedback. Support your ideas with automated reports and improve your product with confidence.,commune.cx,"Commune is a product analytics platform for user feedback. It offers real-time analytics, AI-generated reports, and automated tagging of qualitative data. The innovative aspect lies in its ability to process user feedback using AI, providing instant insights for better decision-making.",The target audience for Commune includes product teams and businesses looking to understand and analyze user feedback effectively. It caters to enterprises and businesses that rely on qualitative data to improve their products and services.,"The main problem statement addressed by Commune is the challenge faced by product teams in gathering and analyzing customer feedback. The value proposition lies in using AI to streamline this process, providing real-time analytics and automated tagging to make sense of qualitative data more efficiently.",Not enough info,Not enough info
7,Doss Arcade,Yes,"This is a blockchain-based, gaming superapp","Floc( formerly Doss Games) empowers fans to invest, play, and earn on creators.",floc.gg,Fantasy team gaming app,"Sports fans, players, investors",Enhancing fan experience through technology,The founders are IIT Roorkee alumni with experience in software development and a passion for sports. They have combined their skills to create a unique fantasy team gaming app.,Not enough info
8,KORA,Yes,This a startup that we previously reached out to,Kora is an integrated co - farming company that focus on empoweri g both Farmers and Middleman  through post harvesting technology and connect them to the industry.,koraagri.com,KORA is an integrated Co-Farming company that focuses on empowering farmers and middlemen through post-harvesting technology and connecting them to the industry. They offer post-harvesting facilities and activities to optimize the value chain.,"Their target audience includes smallholder farmers, middlemen in the agriculture industry, and other stakeholders in the agribusiness sector.","KORA aims to help smallholder farmers by providing a sustainable, inclusive, and profitable business model that increases synergy and efficiency in the agribusiness sector.","The founding team of KORA includes Dian Prayogi Susanto, who has 10 years of experience in Agriculture & Business Development, Reza Prakoso, who has 7 years of experience in Supply Chain, Agil Susetyo, with 5 years of experience in IoT sensor, big data, and machine learning, and Sapto Ops, who has 20 years of experience in the Corn Industry.",Not enough info
9,UMEGO,Yes,"This is a community-based OTA that uses AI for activity recommendations. Since they mentioned their socials, might be good to also understand the number of followers / traction on these social media platforms","UMEGO is a dynamic social platform dedicated to connecting individuals and fostering genuine friendships through unforgettable experiences. We believe that shared adventures and meaningful connections go hand in hand. Join us as we redefine social networking by bringing people together through exciting and immersive experiences. Let's forge new friendships and create lasting memories.

Follow us:
https://www.facebook.com/umego.singapore
https://www.instagram.com/umego.singapore
https://twitter.com/umego_singapore
https://www.tiktok.com/@umego000
https://www.youtube.com/@umego000


#UMEGO #ConnectingPeople #BuildingFriendships #CreatingExperiences #SocialPlatform",umego.io,"Umego offers a platform that connects people through curated experiences enriched by AI innovation. From dining and spa visits to art and craft skills, each experience is meticulously selected for quality and enjoyment.",Consumers looking to build lasting friendships and connections through shared experiences.,"Umego aims to create a vibrant community where every interaction is a chance for magic and each moment is a step towards a richer, more connected life.",Not enough info,Not enough info
